"time" "direct" "dist" "width" "length" "positive_frequency" "negative_frequency" "file"
55115.284 1 238.561 56 52 32.906 66.8803 "20190319"
55350.938 3 242.939 57 53 75 38.1579 "20190319"
55585.604 7 187.865 41 54 60.4701 39.3162 "20190319"
55791.119 1 237.9 55 53 47.4359 52.5641 "20190319"
55791.337 1 237.877 55 54 51.4084 48.5916 "20190319"
55987.908 7 195.706 44 51 55.1724 45.4023 "20190319"
56286.789 7 181.576 40 55 52.0202 47.9798 "20190319"
56355.881 3 202.61 46 51 47.3118 53.7634 "20190319"
56475.799 1 198.103 44 54 35.7143 64.2857 "20190319"
56545.796 5 245.537 57 52 62.8205 37.1795 "20190319"
56864.344 1 187.39 41 54 28.1385 71.645 "20190319"
56900.442 3 186.767 41 51 67.5214 32.265 "20190319"
57092.853 3 209.578 47 54 44.8718 55.1282 "20190319"
57173.516 1 264.63 63 54 29.2735 70.9402 "20190319"
57173.734 1 264.68 63 54 30.9829 69.0171 "20190319"
57174.436 1 264.816 63 53 31.8376 68.1624 "20190319"
57174.67 1 264.934 63 55 32.0513 67.9487 "20190319"
57198.944 1 257.996 61 54 60.4701 39.7436 "20190319"
57465.782 7 245.575 57 53 59.4017 40.5983 "20190319"
57628.834 1 229.386 53 52 47.8495 52.1505 "20190319"
57718.237 7 238.17 56 51 80.3763 63.9785 "20190319"
57948.146 5 228.486 53 53 51.9231 48.0769 "20190319"
57948.364 5 227.597 53 54 50.8547 49.1453 "20190319"
58047.19 7 243.004 57 52 34.4017 65.5983 "20190319"
58094.614 1 219.684 50 51 25.9804 73.5294 "20190319"
58243.267 1 204.577 46 49 46.8254 53.9683 "20190319"
58306.556 3 237.087 55 49 78.4188 21.1538 "20190319"
58380.168 7 236.108 55 45 38.0342 61.9658 "20190319"
58458.137 1 219.744 50 53 44.4444 56.0185 "20190319"
58674.228 1 246.471 58 52 28.0193 72.2222 "20190319"
58700.358 7 215.104 49 54 39.5299 60.2564 "20190319"
59336.71 1 227.381 52 54 40.1709 57.6923 "20190319"
59650.733 7 222.178 51 53 40.1235 60.1852 "20190319"
59743.46 7 266.21 63 53 52.1368 47.8632 "20190319"
59743.772 7 266.559 63 52 38.4615 61.5385 "20190319"
59771.134 3 183.243 40 54 52.7273 47.5758 "20190319"
59917.135 1 207.976 47 51 39.9573 60.0427 "20190319"
60034.509 5 242.84 57 52 60.8974 39.1026 "20190319"
60034.728 5 242.324 57 53 58.0087 42.6407 "20190319"
60226.338 7 230.457 53 51 41.8803 58.1197 "20190319"
61204.002 7 190.766 42 53 43.8406 56.1594 "20190319"
61686.147 3 252.892 59 53 62.8205 37.1795 "20190319"
61732.791 1 235.959 55 52 41.8803 58.3333 "20190319"
61860.712 7 211.044 48 52 34.6154 65.1709 "20190319"
61948.477 1 231.266 53 53 57.906 42.094 "20190319"
61948.93 1 231.171 53 54 66.6667 32.906 "20190319"
62182.317 7 188.225 42 46 49.2248 50.7752 "20190319"
62390.296 7 204.816 46 54 69.209 30.5085 "20190319"
62450.637 1 259.941 61 53 34.4017 65.5983 "20190319"
62535.174 7 230.86 53 54 43.3761 56.6239 "20190319"
62535.408 7 231.087 53 52 51.4957 48.2906 "20190319"
62535.626 7 231.365 53 52 50.641 49.359 "20190319"
62595.026 7 206.07 46 53 46.1538 53.8462 "20190319"
62788.404 7 228.319 53 52 57.4786 42.5214 "20190319"
63539.119 1 235.857 55 50 38.9706 60.7843 "20190319"
63637.68 1 242.434 57 51 52.5641 47.4359 "20190319"
63692.062 3 245.142 57 53 69.2708 30.7292 "20190319"
63729.892 7 264.987 63 55 61.5385 38.6752 "20190319"
63742.247 1 251.723 59 44 0 60.9848 "20190319"
63882.268 5 188.7 42 51 74.5726 26.282 "20190319"
64017.535 1 201.243 45 53 70.5882 30.3922 "20190319"
64079.873 7 251.962 59 49 56.1404 44.4444 "20190319"
64213.987 1 201.475 45 55 41.2698 58.9947 "20190319"
64440.354 7 253.701 60 53 42.094 57.6923 "20190319"
64624.73 1 183.904 40 51 55.5556 44.4444 "20190319"
64791.994 3 209.977 48 51 62.6812 37.3188 "20190319"
65094.738 1 205.47 46 55 42.735 57.0513 "20190319"
65094.988 1 205.151 46 54 54.4872 45.9402 "20190319"
65095.206 1 205.804 46 52 53.8462 45.9402 "20190319"
65095.893 1 205.975 46 52 47.4359 52.5641 "20190319"
65096.174 1 185.962 41 50 61.7778 38 "20190319"
65096.174 1 206.294 46 50 55.2239 44.7761 "20190319"
65096.517 1 186.653 41 45 45.4545 54.5455 "20190319"
65193.799 3 244.242 57 53 57.906 42.094 "20190319"
65253.36 7 248.123 58 52 55.5556 44.6581 "20190319"
65305.932 1 222.361 51 51 50.2193 49.5614 "20190319"
65864.938 1 213.513 49 54 50 50 "20190319"
65965.433 7 266.134 63 53 51.4957 48.2906 "20190319"
66060.718 3 189.98 42 46 49.0991 50.9009 "20190319"
66136.956 1 194.628 43 54 44.4444 55.5556 "20190319"
66349.532 7 261.816 62 54 47.4359 51.2821 "20190319"
66661.377 1 237.103 55 52 48.6111 51.1574 "20190319"
66662.828 7 241.956 56 52 52.7778 47.4359 "20190319"
66767.909 7 250.511 59 53 54.1667 46.3542 "20190319"
66768.346 7 251.043 59 52 52.0325 34.1463 "20190319"
66768.58 7 250.622 59 53 58.1197 41.8803 "20190319"
66769.032 7 250.884 59 53 54.7009 45.2991 "20190319"
66930.41 7 237.9 55 52 49.5726 50.4274 "20190319"
66930.628 7 237.741 55 54 49.1453 51.0684 "20190319"
66955.463 5 230.37 53 53 54.6784 45.3216 "20190319"
67163.334 7 247.344 58 51 65.4088 34.2767 "20190319"
67280.802 7 257.153 61 51 44.2308 56.1966 "20190319"
67281.208 7 256.663 61 52 26.4444 73.1111 "20190319"
67281.863 7 257.111 61 52 57.265 42.735 "20190319"
67282.081 7 257.43 61 52 80.9829 63.2479 "20190319"
67282.346 7 257.415 61 51 55.9829 44.0171 "20190319"
67282.58 7 257.241 61 53 56.8376 43.1624 "20190319"
67283.314 7 257.742 61 51 55.1282 45.0855 "20190319"
67283.548 7 257.495 61 53 54.0598 45.9402 "20190319"
67283.766 7 257.78 61 53 52.7778 47.0086 "20190319"
67284.047 7 257.651 61 53 65.1709 34.8291 "20190319"
67366.43 7 233.309 54 52 44.8198 55.1802 "20190319"
68370.298 3 263.958 63 53 40.7658 58.5586 "20190319"
68473.554 1 181.819 40 51 42.0139 58.3333 "20190319"
68479.046 5 250.42 59 55 62.8205 37.1795 "20190319"
